Date,Time,PU_Address
7/1/2014,12:00:00 AM," 2396 Valentine Ave Fordham, BX"
7/1/2014,12:01:00 AM," 1859 Walton Ave Morris Heights, BX"
7/1/2014,12:02:00 AM," 2431 Jerome Ave Jerome, BX"
7/1/2014,12:05:00 AM," 3044 Valentine Ave Fordham, BX"
7/1/2014,12:05:00 AM," 1085 Nelson Ave High Bridge, BX"
7/1/2014,12:06:00 AM, 2185 Hone Ave Bronx
7/1/2014,12:07:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:09:00 AM," 2952 Marion Ave Fordham, BX"
7/1/2014,12:10:00 AM," 2251 Sedgwick Ave Jerome, BX"
7/1/2014,12:10:00 AM," 1608 Melville St Westfarms, BX"
7/1/2014,12:12:00 AM," 2304 Sedgwick Ave Jerome, BX"
7/1/2014,12:12:00 AM," 2085 Valentine Ave Tremont, BX"
7/1/2014,12:14:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:14:00 AM," 421 E 168th St Morrisania, BX"
7/1/2014,12:15:00 AM," 2055 Harrison Ave Morris Heights, BX"
7/1/2014,12:18:00 AM," 707 E 187th St Fordham, BX"
7/1/2014,12:18:00 AM,main 3716 10 Ave NYC
7/1/2014,12:21:00 AM,"HOTEL 1300 Sedgwick Ave High Bridge, BX"
7/1/2014,12:22:00 AM,"rest parrilla 2501 Webster Ave Fordham, BX"
7/1/2014,12:24:00 AM, 1520 Sedgwick Ave Bronx
7/1/2014,12:25:00 AM," 3308 Bailey Ave Kingsbridge, BX"
7/1/2014,12:27:00 AM," 2427 Webster Ave Fordham, BX"
7/1/2014,12:27:00 AM," 2309 Loring Pl N Jerome, BX"
7/1/2014,12:28:00 AM, 1344 Fulton Ave Bronx
7/1/2014,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:32:00 AM," 79 W 182nd St Morris Heights, BX"
7/1/2014,12:34:00 AM, 1045 Anderson Ave Bronx
7/1/2014,12:34:00 AM," 2262 Loring Pl N Jerome, BX"
7/1/2014,12:38:00 AM,"MENOR 2505 University Ave Jerome, BX"
7/1/2014,12:39:00 AM," 227 E 203rd St Fordham, BX"
7/1/2014,12:39:00 AM,"EMERGENCIA NE 3rd Ave Tremont, BX"
7/1/2014,12:39:00 AM," 2410 Walton Ave Jerome, BX"
7/1/2014,12:40:00 AM,METRO NORTH SW RIVER PARK TOWERS Bronx
7/1/2014,12:40:00 AM," 2515 University Ave Jerome, BX"
7/1/2014,12:40:00 AM," 60 E 196th St Jerome, BX"
7/1/2014,12:41:00 AM," 111 W 183rd St Morris Heights, BX"
7/1/2014,12:47:00 AM," 1820 Harrison Ave Morris Heights, BX"
7/1/2014,12:47:00 AM," 1460 Bronx River Ave Soundview, BX"
7/1/2014,12:47:00 AM," 39 W 183rd St Morris Heights, BX"
7/1/2014,12:47:00 AM,"REST LAS PALOMAS 2337 Grand Concourse Fordham, BX"
7/1/2014,12:49:00 AM, 1960 Holland Ave Bronx
7/1/2014,12:50:00 AM," 1675 Grand Concourse Tremont, BX"
7/1/2014,12:50:00 AM," 5 Minerva Pl Jerome, BX"
7/1/2014,12:52:00 AM," 2772 Valentine Ave Fordham, BX"
7/1/2014,12:52:00 AM," 1905 Andrews Ave S Morris Heights, BX"
7/1/2014,12:52:00 AM,"EMERGENCIA NE 3rd Ave Tremont, BX"
7/1/2014,12:52:00 AM," 2407 Morris Ave Jerome, BX"
7/1/2014,12:53:00 AM, 1505 Leland Ave Bronx
7/1/2014,12:56:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:57:00 AM, NW W 231st St Bronx
7/1/2014,12:57:00 AM," 1927 Hennessy Pl Morris Heights, BX"
7/1/2014,1:02:00 AM," 282 E Gun Hill Rd Williamsbridge, BX"
7/1/2014,1:02:00 AM," 1985 Webster Ave Tremont, BX"
7/1/2014,1:04:00 AM," 2686 Bailey Ave Kingsbridge, BX"
7/1/2014,1:08:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,1:08:00 AM," 1770 Andrews Ave S Morris Heights, BX"
7/1/2014,1:08:00 AM," 1520 Sedgwick Ave Morris Heights, BX"
7/1/2014,1:08:00 AM," 2312 Prospect Ave Fordham, BX"
7/1/2014,1:09:00 AM," NW W 231st St Kingsbridge, BX"
7/1/2014,1:11:00 AM," 4519 Matilda Ave Woodlawn, BX"
7/1/2014,1:13:00 AM," 2690 University Ave Jerome, BX"
7/1/2014,1:15:00 AM,"REST LIBERATO 1 W 183rd St Morris Heights, BX"
7/1/2014,1:15:00 AM,"REST LIBERATO 1 W 183rd St Morris Heights, BX"
7/1/2014,1:16:00 AM," 2290 University Ave Jerome, BX"
7/1/2014,1:19:00 AM, 3336 3rd Ave Bronx
7/1/2014,1:21:00 AM," 2311 Southern Blvd Westfarms, BX"
7/1/2014,1:23:00 AM," 3599 Bainbridge Ave Williamsbridge, BX"
7/1/2014,1:27:00 AM," 789 Astor Ave Williamsbridge, BX"
7/1/2014,1:34:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,1:35:00 AM," 2101 Cedar Ave Jerome, BX"
7/1/2014,1:37:00 AM," 1165 Evergreen Ave Soundview, BX"
7/1/2014,1:37:00 AM, 130 W 228 St NYC
7/1/2014,1:38:00 AM, 800 Concourse Village W Bronx
7/1/2014,1:39:00 AM, 1014 Longfellow Ave Bronx
7/1/2014,1:40:00 AM," 1878 Harrison Ave Morris Heights, BX"
7/1/2014,1:42:00 AM," 2881 Valentine Ave Fordham, BX"
7/1/2014,1:46:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,1:49:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,1:50:00 AM,"MAIN 2400 Sedgwick Ave Jerome, BX"
7/1/2014,1:55:00 AM," 2259 Loring Pl N Jerome, BX"
7/1/2014,1:55:00 AM," 2259 Loring Pl N Jerome, BX"
7/1/2014,1:56:00 AM," 779 Crotona Park N Westfarms, BX"
7/1/2014,1:56:00 AM,"DIAMANTE POBLANO 2431 Jerome Ave Jerome, BX"
7/1/2014,1:59:00 AM," 2295 Andrews Ave N Jerome, BX"
7/1/2014,2:02:00 AM," 1819 Palisade Pl Morris Heights, BX"
7/1/2014,2:03:00 AM, 190 W 170th St Bronx
7/1/2014,2:06:00 AM," 3599 Bainbridge Ave Williamsbridge, BX"
7/1/2014,2:10:00 AM," 2820 Morris Ave Jerome, BX"
7/1/2014,2:10:00 AM," 98 W 183rd St Morris Heights, BX"
7/1/2014,2:12:00 AM," 106 W 179th St Morris Heights, BX"
7/1/2014,2:22:00 AM,"TRAIN STATION NW W 242nd St Jerome, BX"
7/1/2014,2:22:00 AM,"car #155car no 155 1359 Lyman Pl Foxhurst, BX"
7/1/2014,2:24:00 AM," 2315 Loring Pl N Jerome, BX"
7/1/2014,2:27:00 AM," 79 W 182nd St Morris Heights, BX"
7/1/2014,2:30:00 AM, 1065 University Ave Bronx
7/1/2014,2:32:00 AM," 1460 Washington Ave Morrisania, BX"
7/1/2014,2:40:00 AM," 205 W Fordham Rd Jerome, BX"
7/1/2014,2:41:00 AM, 54 W 165th St Bronx
7/1/2014,2:41:00 AM," 1995 Sedgwick Ave Morris Heights, BX"
7/1/2014,2:42:00 AM,"7 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX"
7/1/2014,2:48:00 AM,"MENOR 2695 Briggs Ave Fordham, BX"
7/1/2014,2:51:00 AM," 2726 Decatur Ave Fordham, BX"
7/1/2014,2:56:00 AM," 217 W 233rd St Kingsbridge, BX"
7/1/2014,2:58:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,3:02:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,3:08:00 AM, 975 Walton Ave Bronx
7/1/2014,3:09:00 AM, 975 Walton Ave Bronx
7/1/2014,3:09:00 AM, 1055 University Ave Bronx
7/1/2014,3:11:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,3:11:00 AM, 240 Mt Hope Pl Bronx
7/1/2014,3:15:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,3:17:00 AM," 79 W 182nd St Morris Heights, BX"
7/1/2014,3:20:00 AM,"#4 2400 Sedgwick Ave Jerome, BX"
7/1/2014,3:21:00 AM,"DIAMANTE POBLANO 2431 Jerome Ave Jerome, BX"
7/1/2014,3:22:00 AM," 102 W 183rd St Morris Heights, BX"
7/1/2014,3:26:00 AM,"4 FORDHAM HILL 2400 Sedgwick Ave Jerome, BX"
7/1/2014,3:27:00 AM," 102 W 183rd St Morris Heights, BX"
7/1/2014,3:28:00 AM," 1580 Pelham Pkwy S Morris Park, BX"
7/1/2014,3:38:00 AM," 2405 Marion Ave Fordham, BX"
7/1/2014,3:40:00 AM," 2000 Valentine Ave Tremont, BX"
7/1/2014,3:45:00 AM," 2780 Grand Concourse Fordham, BX"
7/1/2014,3:45:00 AM," 1124 E 165th St Foxhurst, BX"
7/1/2014,3:48:00 AM," 2135 Washington Ave Tremont, BX"
7/1/2014,3:51:00 AM, 1429 Prospect Ave Bronx
7/1/2014,3:57:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,4:01:00 AM," 1901 Loring Pl S Morris Heights, BX"
7/1/2014,4:04:00 AM,"O'SHEAS BAR 2960 Jerome Ave Jerome, BX"
7/1/2014,4:04:00 AM," 2105 Walton Ave Morris Heights, BX"
7/1/2014,4:04:00 AM," 740 Grand Concourse Cortlandt, BX"
7/1/2014,4:07:00 AM, 1472 Bryant Ave Bronx
7/1/2014,4:11:00 AM," 1950 Andrews Ave S Morris Heights, BX"
7/1/2014,4:16:00 AM," 1070 Ogden Ave High Bridge, BX"
7/1/2014,4:18:00 AM," 908 E 181st St Westfarms, BX"
7/1/2014,4:19:00 AM,"DIAMANTE POBLANO 2431 Jerome Ave Jerome, BX"
7/1/2014,4:24:00 AM," 190 W 170th St High Bridge, BX"
7/1/2014,4:25:00 AM," 2709 Heath Ave Kingsbridge, BX"
7/1/2014,4:27:00 AM, 507 E 161st St Bronx
7/1/2014,4:38:00 AM," 2557 Marion Ave Fordham, BX"
7/1/2014,4:41:00 AM," 2557 Marion Ave Fordham, BX"
7/1/2014,4:41:00 AM, 1438 Bryant Ave Bronx
7/1/2014,4:43:00 AM," 2720 Grand Concourse Fordham, BX"
7/1/2014,4:45:00 AM,"6 F H A 2400 Sedgwick Ave Jerome, BX"
7/1/2014,4:45:00 AM," 2765 Kingsbridge Ter Kingsbridge, BX"
7/1/2014,4:48:00 AM," 2310 Holland Ave Williamsbridge, BX"
7/1/2014,4:51:00 AM," 2720 Grand Concourse Fordham, BX"
7/1/2014,4:54:00 AM," 1675 University Ave Morris Heights, BX"
7/1/2014,5:06:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,5:11:00 AM," 1861 Sedgwick Ave Morris Heights, BX"
7/1/2014,5:14:00 AM," 2182 Bathgate Ave Tremont, BX"
7/1/2014,5:14:00 AM," 182 E 206th St Fordham, BX"
7/1/2014,5:20:00 AM,"#1 2400 Sedgwick Ave Jerome, BX"
7/1/2014,5:21:00 AM," 2552 University Ave Jerome, BX"
7/1/2014,5:27:00 AM,"DIAMANTE POBLANO 2431 Jerome Ave Jerome, BX"
7/1/2014,5:27:00 AM,"DIAMANTE POBLANO 2431 Jerome Ave Jerome, BX"
7/1/2014,5:31:00 AM," 2285 Sedgwick Ave Jerome, BX"
7/1/2014,5:41:00 AM," 2455 Grand Ave Jerome, BX"
7/1/2014,5:42:00 AM," 3450 Gates Pl Williamsbridge, BX"
7/1/2014,5:44:00 AM," 5 Minerva Pl Jerome, BX"
7/1/2014,5:47:00 AM," 2104 Bronx Park E Parkchester, BX"
7/1/2014,5:48:00 AM," 2324 Bathgate Ave Fordham, BX"
7/1/2014,5:48:00 AM," 2487 Grand Ave Jerome, BX"
7/1/2014,5:53:00 AM,"#6 2400 Sedgwick Ave Jerome, BX"
7/1/2014,5:54:00 AM,"DIAMANTE POBLANO 2431 Jerome Ave Jerome, BX"
7/1/2014,5:55:00 AM,"shalom restuarant  nw E 196th St Jerome, BX"
7/1/2014,5:57:00 AM," 2975 Briggs Ave Fordham, BX"
7/1/2014,5:58:00 AM," 1871 Sedgwick Ave Morris Heights, BX"
7/1/2014,5:59:00 AM," 31 W Tremont Ave Morris Heights, BX"
7/1/2014,6:00:00 AM," 1985 Sedgwick Ave Morris Heights, BX"
7/1/2014,6:01:00 AM," 873 Union Ave Foxhurst, BX"
7/1/2014,6:03:00 AM," 2271 Washington Ave Tremont, BX"
7/1/2014,6:04:00 AM," 1849 Sedgwick Ave Morris Heights, BX"
7/1/2014,6:12:00 AM," 902 Eagle Ave Morrisania, BX"
7/1/2014,6:18:00 AM," 318 E 151st St Cortlandt, BX"
7/1/2014,6:22:00 AM," 1860 Billingsley Ter Morris Heights, BX"
7/1/2014,6:23:00 AM,"howard johnson  1300 Sedgwick Ave High Bridge, BX"
7/1/2014,6:24:00 AM," 3915 Orloff Ave Kingsbridge, BX"
7/1/2014,6:26:00 AM," 116 W 197th St Jerome, BX"
7/1/2014,6:29:00 AM," 2309 Holland Ave Williamsbridge, BX"
7/1/2014,6:29:00 AM," 2230 University Ave Morris Heights, BX"
7/1/2014,6:29:00 AM," 2324 University Ave Jerome, BX"
7/1/2014,6:30:00 AM," 2334 Valentine Ave Fordham, BX"
7/1/2014,6:30:00 AM," 2290 University Ave Jerome, BX"
7/1/2014,6:31:00 AM," 1889 Sedgwick Ave Morris Heights, BX"
7/1/2014,6:31:00 AM," 1825 Andrews Ave S Morris Heights, BX"
7/1/2014,6:33:00 AM," 2278 Hampden Pl Jerome, BX"
7/1/2014,6:39:00 AM," 2526 Valentine Ave Fordham, BX"
7/1/2014,6:40:00 AM," 2274 University Ave Jerome, BX"
7/1/2014,6:40:00 AM," 153 Father Zeiser Pl Jerome, BX"
7/1/2014,6:40:00 AM, 1730 Popham Ave Bronx
7/1/2014,6:45:00 AM," 730 Oakland Pl Tremont, BX"
7/1/2014,6:45:00 AM," 747 E 168th St Morrisania, BX"
7/1/2014,6:45:00 AM," 2471 University Ave Jerome, BX"
7/1/2014,6:45:00 AM," 2277 Andrews Ave N Jerome, BX"
7/1/2014,6:46:00 AM," 2526 Valentine Ave Fordham, BX"
7/1/2014,6:49:00 AM," 2277 Andrews Ave N Jerome, BX"
7/1/2014,6:50:00 AM," 2406 University Ave Jerome, BX"
7/1/2014,6:51:00 AM,"5 fha  2400 Sedgwick Ave Jerome, BX"
7/1/2014,6:53:00 AM," 2400 Webb Ave Jerome, BX"
7/1/2014,6:56:00 AM,"frente a; parqueo  2400 Sedgwick Ave Jerome, BX"
7/1/2014,6:59:00 AM,40 TRACEY TOWERS 40 Mosholu Pkwy S Bronx
7/1/2014,7:01:00 AM," 2400 Webb Ave Jerome, BX"
7/1/2014,7:03:00 AM," 75 E 190th St Jerome, BX"
7/1/2014,7:03:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,7:08:00 AM," 2698 Bailey Ave Kingsbridge, BX"
7/1/2014,7:09:00 AM," 1860 Billingsley Ter Morris Heights, BX"
7/1/2014,7:10:00 AM," 2698 Bailey Ave Kingsbridge, BX"
7/1/2014,7:10:00 AM," 134 W 180th St Morris Heights, BX"
7/1/2014,7:11:00 AM," 2770 Briggs Ave Fordham, BX"
7/1/2014,7:15:00 AM," 5 Minerva Pl Jerome, BX"
7/1/2014,7:20:00 AM," 2230 University Ave Morris Heights, BX"
7/1/2014,7:21:00 AM," 2300 Sedgwick Ave Jerome, BX"
7/1/2014,7:22:00 AM," 2885 Valentine Ave Fordham, BX"
7/1/2014,7:22:00 AM," 16 W 184th St Jerome, BX"
7/1/2014,7:23:00 AM," 3442 Giles Pl Kingsbridge, BX"
7/1/2014,7:24:00 AM,"main FORDHAM HILL 2400 Sedgwick Ave Jerome, BX"
7/1/2014,7:24:00 AM," 2300 Sedgwick Ave Jerome, BX"
7/1/2014,7:25:00 AM, 220 W 167 St Bronx
7/1/2014,7:25:00 AM," 1459 Wythe Pl High Bridge, BX"
7/1/2014,7:26:00 AM," 1995 Sedgwick Ave Morris Heights, BX"
7/1/2014,7:27:00 AM," NW W 238th St Kingsbridge, BX"
7/1/2014,7:30:00 AM,"F H A ,, MAIN ENTRANCE 2400 Sedgwick Ave Jerome, BX"
7/1/2014,7:30:00 AM," 2300 Sedgwick Ave Jerome, BX"
7/1/2014,7:30:00 AM," 4229 Carpenter Ave Wakefield, BX"
7/1/2014,7:32:00 AM," 2419 Beaumont Ave Fordham, BX"
7/1/2014,7:33:00 AM," 3980 Orloff Ave Kingsbridge, BX"
7/1/2014,7:34:00 AM," 2732 Marion Ave Fordham, BX"
7/1/2014,7:36:00 AM," 2547 Aqueduct Ave Jerome, BX"
7/1/2014,7:37:00 AM," 3554 Rochambeau Ave Williamsbridge, BX"
7/1/2014,7:37:00 AM," 360 E 195th St Fordham, BX"
7/1/2014,7:41:00 AM," 54 Featherbed Ln High Bridge, BX"
7/1/2014,7:41:00 AM," 135 W 183rd St Morris Heights, BX"
7/1/2014,7:41:00 AM,"5 FORDHAM HILL 2400 Sedgwick Ave Jerome, BX"
7/1/2014,7:41:00 AM," 2400 Webb Ave Jerome, BX"
7/1/2014,7:43:00 AM," 130 W 183rd St Morris Heights, BX"
7/1/2014,7:43:00 AM," 2300 Sedgwick Ave Jerome, BX"
7/1/2014,7:43:00 AM,"credit card 2789 Morris Ave Jerome, BX"
7/1/2014,7:43:00 AM," 2699 Heath Ave Kingsbridge, BX"
7/1/2014,7:44:00 AM," 1966 Bathgate Ave Tremont, BX"
7/1/2014,7:45:00 AM," 200 E 205th St Fordham, BX"
7/1/2014,7:46:00 AM," 2800 University Ave Jerome, BX"
7/1/2014,7:47:00 AM," 3889 Orloff Ave Kingsbridge, BX"
7/1/2014,7:48:00 AM," 2130 E Tremont Ave Parkchester, BX"
7/1/2014,7:49:00 AM," 2130 E Tremont Ave Parkchester, BX"
7/1/2014,7:50:00 AM,"5 F HA  2400 Sedgwick Ave Jerome, BX"
7/1/2014,7:50:00 AM," 2550 Bainbridge Ave Fordham, BX"
7/1/2014,7:51:00 AM," 2287 Loring Pl N Jerome, BX"
7/1/2014,7:52:00 AM, 263 W 153 St NYC
7/1/2014,7:52:00 AM," 1478 Walton Ave High Bridge, BX"
7/1/2014,7:52:00 AM,"1-17C FORDHAM HILL  2400 Sedgwick Ave Jerome, BX"
7/1/2014,7:54:00 AM," 2438 Devoe Ter Jerome, BX"
7/1/2014,7:55:00 AM," 2956 Bainbridge Ave Fordham, BX"
7/1/2014,7:56:00 AM," 1834 Phelan Pl Morris Heights, BX"
7/1/2014,7:56:00 AM," 65 W 192nd St Jerome, BX"
7/1/2014,7:56:00 AM,"esquina nw Loring Pl S Morris Heights, BX"
7/1/2014,7:56:00 AM," 2500 Webb Ave Jerome, BX"
7/1/2014,7:59:00 AM,"4 FORDHAM HILL fah#4 2400 Sedgwick Ave Jerome, BX"
7/1/2014,8:00:00 AM," 1849 Sedgwick Ave Morris Heights, BX"
7/1/2014,8:00:00 AM," 2855 Claflin Ave Jerome, BX"
7/1/2014,8:01:00 AM," 2420 Grand Ave Jerome, BX"
7/1/2014,8:02:00 AM," 1730 Popham Ave Morris Heights, BX"
7/1/2014,8:03:00 AM," 2559 Sedgwick Ave Jerome, BX"
7/1/2014,8:04:00 AM," 2735 Creston Ave Jerome, BX"
7/1/2014,8:06:00 AM," 2472 Grand Ave Jerome, BX"
7/1/2014,8:07:00 AM," 1705 Andrews Ave S Morris Heights, BX"
7/1/2014,8:07:00 AM,"5 f h a 2400 Sedgwick Ave Jerome, BX"
7/1/2014,8:07:00 AM," 1165 Shakespeare Ave High Bridge, BX"
7/1/2014,8:09:00 AM," 2300 Sedgwick Ave Jerome, BX"
7/1/2014,8:09:00 AM," 2280 Andrews Ave N Jerome, BX"
7/1/2014,8:10:00 AM,"5 f h a 2400 Sedgwick Ave Jerome, BX"
7/1/2014,8:10:00 AM," 2914 Jerome Ave Jerome, BX"
7/1/2014,8:10:00 AM," 2059 McGraw Ave Parkchester, BX"
7/1/2014,8:11:00 AM," 2914 Jerome Ave Jerome, BX"
7/1/2014,8:12:00 AM," 3718 Henry Hudson Pkwy E Kingsbridge, BX"
7/1/2014,8:12:00 AM," 2312 Loring Pl N Jerome, BX"
7/1/2014,8:12:00 AM," 1840 Sedgwick Ave Morris Heights, BX"
7/1/2014,8:13:00 AM," 226 E 203rd St Fordham, BX"
7/1/2014,8:13:00 AM," 3850 Sedgwick Ave Kingsbridge, BX"
7/1/2014,8:15:00 AM," 1985 Sedgwick Ave Morris Heights, BX"
7/1/2014,8:15:00 AM," 648 Rosedale Ave Clason Point, BX"
7/1/2014,8:15:00 AM," 2460 Bronxwood Ave Baychester, BX"
7/1/2014,8:16:00 AM," 3136 Perry Ave Williamsbridge, BX"
7/1/2014,8:18:00 AM," 2876 Jerome Ave Jerome, BX"
7/1/2014,8:18:00 AM," 1889 Sedgwick Ave Morris Heights, BX"
7/1/2014,8:20:00 AM," 1983 Sedgwick Ave Morris Heights, BX"
7/1/2014,8:22:00 AM," 1140 Woodycrest Ave High Bridge, BX"
7/1/2014,8:23:00 AM," 1889 Sedgwick Ave Morris Heights, BX"
7/1/2014,8:24:00 AM," 3 W 192nd St Jerome, BX"
7/1/2014,8:24:00 AM," 2315 Grand Ave Jerome, BX"
7/1/2014,8:25:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,8:27:00 AM," 2025 Walton Ave Morris Heights, BX"
7/1/2014,8:28:00 AM," 2641 Jerome Ave Jerome, BX"
7/1/2014,8:29:00 AM," 2290 Davidson Ave Jerome, BX"
7/1/2014,8:30:00 AM," 1561 Sheridan Ave Tremont, BX"
7/1/2014,8:30:00 AM," 2323 Barnes Ave Williamsbridge, BX"
7/1/2014,8:30:00 AM," 680 Beck St South Bronx, BX"
7/1/2014,8:31:00 AM," 2686 Bailey Ave Kingsbridge, BX"
7/1/2014,8:31:00 AM," 2300 Sedgwick Ave Jerome, BX"
7/1/2014,8:32:00 AM," 190 W Burnside Ave Morris Heights, BX"
7/1/2014,8:32:00 AM," 2317 Tiebout Ave Fordham, BX"
7/1/2014,8:33:00 AM," 120 W 183rd St Morris Heights, BX"
7/1/2014,8:33:00 AM," 1834 Phelan Pl Morris Heights, BX"
7/1/2014,8:37:00 AM,"Carro 2641 Jerome Ave Jerome, BX"
7/1/2014,8:37:00 AM, 151 W 228 St NYC
7/1/2014,8:38:00 AM," 2789 Morris Ave Jerome, BX"
7/1/2014,8:38:00 AM, 151 W 228 St NYC
7/1/2014,8:38:00 AM," 2186 Grand Concourse Tremont, BX"
7/1/2014,8:40:00 AM," 145 Father Zeiser Pl Jerome, BX"
7/1/2014,8:40:00 AM," 2761 Webb Ave Jerome, BX"
7/1/2014,8:40:00 AM," 2210 University Ave Morris Heights, BX"
7/1/2014,8:40:00 AM," 2734 Claflin Ave Jerome, BX"
7/1/2014,8:40:00 AM," 28 Bedford Park Blvd Jerome, BX"
7/1/2014,8:40:00 AM," 2785 University Ave Jerome, BX"
7/1/2014,8:41:00 AM," 311 E 178th St Tremont, BX"
7/1/2014,8:42:00 AM," 2780 University Ave Jerome, BX"
7/1/2014,8:42:00 AM," 2312 Loring Pl N Jerome, BX"
7/1/2014,8:43:00 AM," 166 E 205th St Fordham, BX"
7/1/2014,8:43:00 AM," 1750 Topping Ave Tremont, BX"
7/1/2014,8:44:00 AM," 2308 University Ave Jerome, BX"
7/1/2014,8:45:00 AM," 2761 Webb Ave Jerome, BX"
7/1/2014,8:45:00 AM," 3400 Paul Ave Jerome, BX"
7/1/2014,8:45:00 AM," 2085 Valentine Ave Tremont, BX"
7/1/2014,8:45:00 AM," 2280 Loring Pl N Jerome, BX"
7/1/2014,8:45:00 AM, 2698 8 Ave NYC
7/1/2014,8:46:00 AM,"esquina  nw Andrews Ave S Morris Heights, BX"
7/1/2014,8:46:00 AM," 3000 Valentine Ave Fordham, BX"
7/1/2014,8:49:00 AM," 2333 Loring Pl N Jerome, BX"
7/1/2014,8:50:00 AM,"6 FORDHAM HILL 2400 Sedgwick Ave Jerome, BX"
7/1/2014,8:51:00 AM," 2400 Webb Ave Jerome, BX"
7/1/2014,8:51:00 AM," 3915 Orloff Ave Kingsbridge, BX"
7/1/2014,8:53:00 AM," 55 W 184th St Jerome, BX"
7/1/2014,8:54:00 AM," 2230 University Ave Morris Heights, BX"
7/1/2014,8:54:00 AM," 1632 Undercliff Ave Morris Heights, BX"
7/1/2014,8:55:00 AM," 2286 Sedgwick Ave Jerome, BX"
7/1/2014,8:56:00 AM," 2784 Morris Ave Jerome, BX"
